portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
MultiCriteria_Recommended_Portfolio,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384954951769748,Titres de l'État
Current_Portfolio,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.032034754731809625,Obligations corporate
Minimum_Variance,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.0320392732440644,Obligations corporate
Mean_Variance_lambda_2,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.03203475398917658,Obligations corporate
Mean_Variance_lambda_5,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.032034755034278745,Obligations corporate
Mean_Variance_lambda_10,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.032036186949692125,Obligations corporate
Mean_Variance_lambda_20,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.12167107964681685,Obligations corporate
Max_Sharpe,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.032035035716929165,Obligations corporate
Max_Return,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.03203475463008445,Obligations corporate
Mean_CVaR_95,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.07082221367964917,Obligations corporate
Risk_Parity,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.07648263628130929,Obligations corporate
MeanVariance_TurnoverPenalty,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.03203475476284064,Obligations corporate
MultiCriteria_Recommended_Portfolio,EO ATL 2025-2,Obligations corporate,EO_ATL_2025_2,0.07082221367964917,Obligations corporate
Current_Portfolio,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.028663436991747625,Obligations corporate
Minimum_Variance,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.040393848112612964,Obligations corporate
Mean_Variance_lambda_2,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.028663436022069184,Obligations corporate
Mean_Variance_lambda_5,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.028663437247307327,Obligations corporate
Mean_Variance_lambda_10,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.028663703825437037,Obligations corporate
Mean_Variance_lambda_20,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.028663444329593092,Obligations corporate
