asset_id,asset_name,asset_class,asset_type,issuer,current_weight_optimisable,portfolio_name,current_weight,optimized_weight,weight_change,optimized_value,quality_flag
ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,ATTIJARI_BANK,0.0162689936442442,Mean_Variance_lambda_5,0.0162689936442442,0.016269027450550096,3.380630589702727e-08,5382850.15532003,OK
BIAT,BIAT,Actions cotées,listed_equity,BIAT,0.0067096872285262,Mean_Variance_lambda_5,0.0067096872285262,0.006709688825252429,1.5967262286670225e-09,2220000.5283006574,OK
BT,BT,Actions cotées,listed_equity,BT,0.0001354026972243,Mean_Variance_lambda_5,0.0001354026972243,0.07893374107802723,0.07879833838080293,26116404.420196816,OK
CITY_CARS,CITY CARS,Actions cotées,listed_equity,CITY_CARS,0.0010673900405549,Mean_Variance_lambda_5,0.0010673900405549,0.04359735011874897,0.04252996007819407,14424832.92695622,OK
DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,DELICE_HOLDING,0.004255307214908,Mean_Variance_lambda_5,0.004255307214908,0.032926967281745274,0.028671660066837273,10894377.76692467,OK
ENNAKL,ENNAKL,Actions cotées,listed_equity,ENNAKL,0.0272014357982988,Mean_Variance_lambda_5,0.0272014357982988,8.29197920750339e-11,-0.02720143571537901,0.027435248788341603,OK
PGH,PGH,Actions cotées,listed_equity,PGH,0.0448589559037577,Mean_Variance_lambda_5,0.0448589559037577,0.0388279054642219,-0.0060310504395358,12846791.093942823,OK
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,BTA_7_4_02_2030,0.0981089183612434,Mean_Variance_lambda_10,0.0981089183612434,0.09810892319239843,4.831155031581602e-09,32460799.15038967,OK
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,BTA_7_5_12_2028,0.06829597420544,Mean_Variance_lambda_10,0.06829597420544,0.06829597843715456,4.231714562097366e-09,22596742.138125807,OK
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,0.0874174259055424,Mean_Variance_lambda_10,0.0874174259055424,0.08741742990803494,4.002492545729375e-09,28923359.284284268,OK
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.0438495478974024,Mean_Variance_lambda_10,0.0438495478974024,0.04384955249645197,4.59904957172963e-09,14508277.841664061,OK
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.0496837556199316,Mean_Variance_lambda_10,0.0496837556199316,0.049683760782531075,5.16259947291875e-09,16438612.588122949,OK
TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,TN0007310568,0.0099706592583008,Mean_Variance_lambda_10,0.0099706592583008,0.00997069292592211,3.366762130890821e-08,3298952.3269341714,OK
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,TN0003100872,0.0190339210105056,Mean_Variance_lambda_10,0.0190339210105056,0.019033938639443616,1.7628938017710816e-08,6297662.221856825,OK
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,TNHFN9X6ARP3,0.0286634369917476,Mean_Variance_lambda_10,0.0286634369917476,0.028663703825437037,2.668336894356971e-07,9483813.525902195,OK
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,TN8DSPQCBC06,0.0084347887863857,Mean_Variance_lambda_10,0.0084347887863857,0.008434851124838626,6.23384529257337e-08,2790796.181606032,OK
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,TNL7VQZVHR54,0.4167675090979856,Mean_Variance_lambda_10,0.4167675090979856,0.29999999953528544,-0.11676750956270016,99259470.11908926,OK
TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,TNYGOCQ2WZX6,0.0097829647118884,Mean_Variance_lambda_10,0.0097829647118884,0.009783045878976021,8.116708762051505e-08,3236866.5053403955,OK
TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,TNDE9EH7SA12,0.0061743504717015,Mean_Variance_lambda_10,0.0061743504717015,0.006174387799667614,3.732796611394251e-08,2042888.2075137892,OK
EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,EO_ATL_2025_2,0.0320347547318096,Mean_Variance_lambda_10,0.0320347547318096,0.032036186949692125,1.4322178825271203e-06,10599649.82062778,OK
AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,AMEN_BANK,0.0212848204226004,Mean_Variance_lambda_10,0.0212848204226004,0.021285060470927344,2.4004832694518585e-07,7042479.423565878,OK
ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,ATTIJARI_BANK,0.0162689936442442,Mean_Variance_lambda_10,0.0162689936442442,0.01626901041678717,1.677254297255404e-08,5382844.519445748,OK
BIAT,BIAT,Actions cotées,listed_equity,BIAT,0.0067096872285262,Mean_Variance_lambda_10,0.0067096872285262,0.023014290780162757,0.016304603551636557,7614621.03848074,OK
BT,BT,Actions cotées,listed_equity,BT,0.0001354026972243,Mean_Variance_lambda_10,0.0001354026972243,0.06933266829397487,0.06919726559675057,22939746.424876533,OK
CITY_CARS,CITY CARS,Actions cotées,listed_equity,CITY_CARS,0.0010673900405549,Mean_Variance_lambda_10,0.0010673900405549,0.04575085335698177,0.04468346331642687,15137351.562482381,OK
