portfolio_name,asset_id,asset_name,asset_class,asset_type,weight,marginal_risk_contribution,risk_contribution,risk_contribution_pct
Mean_Variance_lambda_5,TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.008434788925593831,0.000122724873090156,1.0351584004357562e-06,3.530345010756524e-05
Mean_Variance_lambda_5,TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.30000000001921323,0.00024063601956240442,7.219080587334473e-05,0.002462023698307149
Mean_Variance_lambda_5,TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,0.009782964870472356,8.517617764239755e-05,8.332755536766881e-07,2.8418357927342602e-05
Mean_Variance_lambda_5,TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,0.006174350571051504,0.0003088249092419572,1.9067932547330073e-06,6.503002874301306e-05
Mean_Variance_lambda_5,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.032034755034278745,0.00024739793402999517,7.925332212637548e-06,0.000270288653636921
Mean_Variance_lambda_5,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.02128482207279467,0.051758868576738865,0.0011016783083450498,0.03757207126645939
Mean_Variance_lambda_5,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.016269027450550096,0.10545457093120164,0.0017156433092657016,0.05851097565893615
Mean_Variance_lambda_5,BIAT,BIAT,Actions cotées,listed_equity,0.006709688825252429,0.04452954188823112,0.0002987793696010743,0.010189689388059933
Mean_Variance_lambda_5,BT,BT,Actions cotées,listed_equity,0.07893374107802723,0.17771252852562552,0.014027514712963252,0.4783998908705854
Mean_Variance_lambda_5,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.04359735011874897,0.07539553393334714,0.0032870454902821536,0.11210269502582781
Mean_Variance_lambda_5,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.032926967281745274,0.12441254593907765,0.004096527829574641,0.13970959979145367
