requested_date,portfolio_name,total_portfolio_value_estimated,government_bond_exposure,equity_exposure,corporate_bond_exposure,regulatory_status,worst_margin_constraint,worst_margin_value
2025-03-12,Current_Portfolio,519241313.09622246,116931410.3828929,45587948.51428709,178554273.0682873,OK,STATE_MIN_20_PT,64698601.5157789
2025-03-13,Current_Portfolio,519597638.73185605,116959920.9778184,45875313.36323695,178594723.26004565,OK,STATE_MIN_20_PT,64727112.11070439
2025-03-14,Current_Portfolio,519988175.2554602,116992301.41592513,46158103.22854234,178670089.4802376,OK,STATE_MIN_20_PT,64759492.54881112
2025-03-17,Current_Portfolio,521257107.28341126,117089302.9834694,47188816.36799063,178811306.80119616,OK,STATE_MIN_20_PT,64856494.11635539
2025-03-18,Current_Portfolio,521551946.3260484,117121776.74337596,47402263.85194986,178860224.59996736,OK,STATE_MIN_20_PT,64888967.87626195
2025-03-19,Current_Portfolio,521918101.2350145,117153116.40054184,47689612.01032392,178907691.6933936,OK,STATE_MIN_20_PT,64920307.533427835
2025-03-21,Current_Portfolio,522126713.0956039,117223638.92949173,47731640.430231094,179003752.6051259,OK,STATE_MIN_20_PT,64990830.06237772
2025-03-24,Current_Portfolio,522553520.9260951,117315158.45857877,47921397.634582505,179149283.70217875,OK,STATE_MIN_20_PT,65082349.59146476
2025-03-25,Current_Portfolio,522718993.5899994,117345600.336582,48008023.80058378,179197688.32207847,OK,STATE_MIN_20_PT,65112791.469468
2025-03-26,Current_Portfolio,523376272.19409686,117382567.66554284,48572707.633407585,179253315.7643914,OK,STATE_MIN_20_PT,65149758.79842883
2025-03-27,Current_Portfolio,523460674.1064698,117285055.32516704,48813673.40079295,179194264.24975467,OK,STATE_MIN_20_PT,65052246.45805304
2025-03-28,Current_Portfolio,523600964.59654146,117306759.4206262,48830073.08639817,179296450.958762,OK,STATE_MIN_20_PT,65073950.553512186
2025-04-02,Current_Portfolio,524952441.1396144,117494028.88079445,49698289.96309024,179592441.1649746,OK,STATE_MIN_20_PT,65261220.01368044
2025-04-03,Current_Portfolio,524991953.1953756,117524513.78278515,49655744.81496829,179644013.46686703,OK,STATE_MIN_20_PT,65291704.91567114
2025-04-04,Current_Portfolio,525539841.20603734,117555104.5865692,50121397.60571322,179695657.88299972,OK,STATE_MIN_20_PT,65322295.7194552
2025-04-07,Current_Portfolio,526198269.1758214,117578212.49333824,50662640.16944507,179789735.382283,OK,STATE_MIN_20_PT,65345403.626224235
2025-04-08,Current_Portfolio,526593354.73443437,117602167.85184312,50976717.849823356,179846787.90201268,OK,STATE_MIN_20_PT,65369358.98472911
2025-04-10,Current_Portfolio,527805148.2529437,117673637.48597164,51991037.44619307,179972792.19002378,OK,STATE_MIN_20_PT,65440828.61885764
2025-04-11,Current_Portfolio,528910155.4619911,117779339.62258688,52816550.076523095,180146584.63212603,OK,STATE_MIN_20_PT,65546530.75547287
2025-04-14,Current_Portfolio,528706365.36916924,117865291.84518385,52387745.4523846,180285646.94084573,OK,STATE_MIN_20_PT,65632482.97806984
2025-04-15,Current_Portfolio,529473954.24950105,117905160.97393057,53038387.76977263,180362724.37504274,OK,STATE_MIN_20_PT,65672352.10681656
2025-04-16,Current_Portfolio,529744556.87526745,117935816.01049894,53226619.654353276,180414440.07966012,OK,STATE_MIN_20_PT,65703007.14338493
2025-04-17,Current_Portfolio,530230656.15692085,117966470.5436983,53630341.90400348,180466162.57846394,OK,STATE_MIN_20_PT,65733661.67658429
2025-04-18,Current_Portfolio,530966650.8909598,117997050.04176074,54280861.99934444,180521057.71909952,OK,STATE_MIN_20_PT,65764241.174646735
2025-04-21,Current_Portfolio,531076591.79137105,118107246.54712114,54083781.90383496,180717882.20965987,OK,STATE_MIN_20_PT,65874437.68000713
2025-04-22,Current_Portfolio,531152491.73180777,118137944.27721429,54077253.36530542,180769612.95853284,OK,STATE_MIN_20_PT,65905135.41010028
2025-04-23,Current_Portfolio,531209711.5971317,118157118.17412381,54058546.13137524,180826366.16087756,OK,STATE_MIN_20_PT,65924309.3070098
2025-04-24,Current_Portfolio,531611100.01645786,118187835.02486789,54377353.21611101,180878230.6447238,OK,STATE_MIN_20_PT,65955026.157753885
2025-04-25,Current_Portfolio,532374044.8125379,118284064.80441627,54885990.94343433,181036307.93393213,OK,STATE_MIN_20_PT,66051255.93730226
2025-04-28,Current_Portfolio,532740765.6603439,118481157.79294811,54767784.453685634,181324142.282955,OK,STATE_MIN_20_PT,66248348.925834104
2025-04-29,Current_Portfolio,532567348.08592314,118541244.25268807,54420356.962933846,181438065.73954606,OK,STATE_MIN_20_PT,66308435.38557406
2025-04-30,Current_Portfolio,533295717.9196412,118571985.37894881,55066568.73812329,181489482.67181396,OK,STATE_MIN_20_PT,66339176.5118348
2025-05-02,Current_Portfolio,533684035.3180184,118704152.2931369,54812621.42127318,181999580.47285324,OK,STATE_MIN_20_PT,66471343.42602289
2025-05-05,Current_Portfolio,534236932.6352451,118819025.12149286,55073432.838266335,182176793.54473066,OK,STATE_MIN_20_PT,66586216.254378855
2025-05-06,Current_Portfolio,534851228.75150174,118849824.29623084,55606099.68047361,182227623.6440421,OK,STATE_MIN_20_PT,66617015.42911683
2025-05-07,Current_Portfolio,535195640.3265757,118880586.44480017,55868957.17010144,182278415.5809189,OK,STATE_MIN_20_PT,66647777.57768616
2025-05-08,Current_Portfolio,535603231.4072318,118911351.51635495,56194991.89575502,182329206.86436665,OK,STATE_MIN_20_PT,66678542.64924094
2025-05-09,Current_Portfolio,535601072.2770409,118942119.51653427,56138549.409523785,182352722.2202277,OK,STATE_MIN_20_PT,66709310.64942026
2025-05-12,Current_Portfolio,535931736.17491126,119032050.83532454,56222856.609514154,182509147.59931746,OK,STATE_MIN_20_PT,66799241.96821053
2025-05-13,Current_Portfolio,536070344.4134378,119100246.92583562,56168053.03355349,182634363.3232936,OK,STATE_MIN_20_PT,66867438.05872162
2025-05-14,Current_Portfolio,536166876.99406654,119129941.4818422,56140576.75059513,182728677.6308741,OK,STATE_MIN_20_PT,66897132.6147282
2025-05-15,Current_Portfolio,535923483.1557901,119206105.6787568,55698398.90542218,182851297.44085592,OK,STATE_MIN_20_PT,66973296.811642796
2025-05-16,Current_Portfolio,536305838.57835,119239495.75266062,55984852.29124479,182913809.40368944,OK,STATE_MIN_20_PT,67006686.88554661
2025-05-19,Current_Portfolio,536716088.30282736,119388510.8162495,55992174.72381581,183167721.63200694,OK,STATE_MIN_20_PT,67155701.9491355
2025-05-20,Current_Portfolio,536044241.2702437,119419373.63058507,55238878.23467966,183218308.27422386,OK,STATE_MIN_20_PT,67186564.76347107
